label,youtube_id,time_start,time_end,split
testifying,---QUuC4vJs,84,94,train
balloon blowing,--Ntf6n-j9Q,17,27,train
skiing (not slalom or crosscountry),--TBx-Spzis,148,158,train
javelin throw,--_S9IDQPLg,135,145,train
pushing wheelchair,--bO6XwZ9HI,41,51,train
getting a haircut,--j-y5SNUhs,22,32,train
drinking,--uWuXty1jw,27,37,train
cooking chicken,-07Ke73N4zI,612,622,train
playing paintball,-0MsYnGUrfE,22,32,train
stretching arm,-0S06ntmN_I,19,29,train
snowboarding,-0SoxHZp0SM,91,101,train
windsurfing,-0Y3H5y75t8,20,30,train
golf putting,-0Yb1tD3HUo,4,14,train
marching,-0kVxoFuMGQ,622,632,train
making bed,-0mnCHRQ-Zc,92,102,train
flying kite,-0yuyrbruYM,79,89,train
windsurfing,-1-tBHJnKu0,199,209,train
passing American football (in game),-1UuX-zgjhY,0,10,train
golf chipping,-1brKJdL-iM,93,103,train
peeling potatoes,-1jQapks1hI,53,63,train
disc golfing,-1zcUy-nivk,98,108,train
swinging legs,-2CSZvTHhIQ,10,20,train
hitting baseball,-2GucDajjGY,1,11,train
tapping guitar,-2IdUKJVuMY,4,14,train
marching,-2KG4xiBL1s,5,15,train
marching,-2KezGiYpZA,48,58,train
snowboarding,-2Km-NboGO4,2,12,train
passing American football (in game),-2jWUw9x4Ss,2,12,train
air drumming,-37UUIjsmGA,16,26,train
springboard diving,-3OVmEFi_X4,13,23,train
tossing coin,-3cITTb9tmA,111,121,train
smoking,-3oeeJz_bjk,9,19,train
jumping into pool,-3pp5xan1Hw,6,16,train
balloon blowing,-3tVVBhz8-o,249,259,train
barbequing,-3usVvvMGSY,111,121,train
picking fruit,-3vKpQQMYbE,31,41,train
tying tie,-3x5jizdxd8,112,122,train
air drumming,-3xvTiROe7o,0,10,train
tapping guitar,-40Vpi4U4ac,28,38,train
jumping into pool,-458rvyOZkM,12,22,train
marching,-4c4r9YeS6s,98,108,train
flying kite,-4dHxTY4iwo,43,53,train
golf putting,-4ggQ2PfUOc,244,254,train
riding elephant,-50M_ypyDWw,0,10,train
flying kite,-51ACZu5ZPI,4,14,train
marching,-534IANO-AM,120,130,train
tying tie,-55he7NGmDA,25,35,train
vault,-56mkeU3eBs,3,13,train
trimming trees,-58gQSNMClg,10,20,train
breakdancing,-5E7gmuQ1D8,6,16,train
playing basketball,-5FtgMgevX0,14,24,train
windsurfing,-5HemBLbCrQ,78,88,train
riding elephant,-5O_xxIpooE,42,52,train
feeding birds,-5VuqHbo5nE,4,14,train
drop kicking,-5x5wVuCVR0,4,14,train
using computer,-5zeJyQ31rM,19,29,train
bookbinding,-60KGw7ow0k,198,208,train
hurdling,-68VwvBfeeg,3,13,train
pumping fist,-6BWeclu-VA,7,17,train
changing wheel,-6JrhxygJEY,238,248,train
air drumming,-6_yubx7iSg,1,11,train
air drumming,-6b9q-zQnPk,20,30,train
passing American football (in game),-6tSHjJZYTY,6,16,train
cooking chicken,-6zh0xWFWT4,36,46,train
feeding fish,-7Jqn00FWHA,112,122,train
air drumming,-7QDJQU657I,1,11,train
golf putting,-7a1j_Q6PUk,30,40,train
presenting weather forecast,-7kDQ5Yy1og,46,56,train
pumping fist,-7tYdJAoVrc,29,39,train
strumming guitar,-7tpiWcn64g,48,58,train
riding elephant,-7yP-JTSHj0,11,21,train
skiing (not slalom or crosscountry),-84ATLkGYf8,128,138,train
dunking basketball,-887Ct0ZIXU,4,14,train
snowmobiling,-8QPIN4bKDA,575,585,train
dancing ballet,-8QuE8e9mRI,430,440,train
pumping fist,-8fvlRU8aAI,157,167,train
snowboarding,-8hKdGdvZdg,80,90,train
air drumming,-8khhEKByEM,6,16,train
playing bass guitar,-8rCdhZK7rE,66,76,train
tapping guitar,-8zbv5k27mE,20,30,train
snowboarding,-9-4fix3fxQ,121,131,train
playing guitar,-90YUx0XA2w,69,79,train
filling eyebrows,-94TJu9QnJQ,176,186,train
cooking sausages,-9CqeuXdCvM,80,90,train
scuba diving,-9DSHbAQ3F4,104,114,train
swimming backstroke,-9F3uySCOS8,48,58,train
tobogganing,-9TzYZ-7mtA,0,10,train
playing basketball,-9UwQwfuRsc,11,21,train
riding mechanical bull,-9qGGkWbsX0,12,22,train
cleaning floor,-9v4IlCbtiE,1,11,train
flying kite,-A-5wR2-u5M,16,26,train
windsurfing,-A-YeDNl78o,9,19,train
riding elephant,-ADPxKGLQYg,6,16,train
cleaning floor,-AJHzAwk3PE,29,39,train
lunge,-AQ_MQPJV84,4,14,train
drinking,-ATBr1X9HRQ,190,200,train
cleaning floor,-AXEH6stPG4,14,24,train
shoveling snow,-AexE0IVHwE,40,50,train
unboxing,-AlzbNiAsPI,45,55,train
hockey stop,-Av_nD6hvzo,1,11,train
picking fruit,-B14kmeX4EI,12,22,train
barbequing,-BIgUCoMCVE,140,150,train
playing cards,-BInBAEiCns,36,46,train
marching,-BLN3nHFjJU,663,673,train
tai chi,-BewRPAXatY,10,20,train
skiing (not slalom or crosscountry),-BmuSpcrk3U,83,93,train
windsurfing,-BpKyalPqsA,4,14,train
cooking chicken,-BptOURMao8,398,408,train
playing basketball,-C6gcd8PYY0,50,60,train
swimming backstroke,-CIuD-A_1Ls,53,63,train
swinging legs,-CJCLLWB78o,162,172,train
taking a shower,-CLMsUh34XE,0,10,train
grooming horse,-CPHycRUJfA,22,32,train
cooking chicken,-CTvtfED6Ak,191,201,train
pumping fist,-CaI3htIs6k,43,53,train
